company_role,salary_raw,salary_cad_hourly,currency_original,pay_period,company,role,salary_annual_usd
Bluescape,34/hr (6th coop),20.0,CAD,hourly,Bluescape,,30814.814814814814
BMO Business Analyst (2A),24/hr,24.0,CAD,hourly,BMO Business Analyst (2A),,36977.777777777774
BMO Product Analyst,28/hr (2nd coop),15.0,CAD,hourly,BMO Product Analyst,,23111.11111111111
BMO Software Developer,29.50/hr (1st coop),15.25,CAD,hourly,BMO Software Developer,,23496.296296296296
Bolt,56 USD/hr,75.60000000000001,USD,hourly,Bolt,,116480.00000000001
Bonfire Interactive,24/hr (2nd coop),13.0,CAD,hourly,Bonfire Interactive,,20029.629629629628
Boosted.AI,35/hr,35.0,CAD,hourly,Boosted.AI,,53925.92592592592
Borrowell,(mobile dev) 35/hr (5h coop),20.0,CAD,hourly,Borrowell,,30814.814814814814
Brookfield Annuity,35/hr,35.0,CAD,hourly,Brookfield Annuity,,53925.92592592592
Brookfield Renewables,26/hr,26.0,CAD,hourly,Brookfield Renewables,,40059.259259259255
CAAT Pension Plan,18/hr (2nd coop),10.0,CAD,hourly,CAAT Pension Plan,,15407.407407407407
Canadian Food Inspection Agency (Full Stack Dev),24.77/hr (5th coop),14.885,CAD,hourly,Canadian Food Inspection Agency (Full Stack Dev),,22933.925925925923
⁠Capco,25-30/hr,27.5,CAD,hourly,⁠Capco,,42370.370370370365
Capital1,"38/hr (5th coop), 39/hr including signing bonus (6th coop)",22.0,CAD,hourly,Capital1,,33896.29629629629
Carta,1150-1700/week depending on experience,35.625,CAD,weekly,Carta,,54888.88888888888
Carfax (Dev),26/hr (2nd coop),14.0,CAD,hourly,Carfax (Dev),,21570.37037037037
Castleton Commodities,38/hr,38.0,CAD,hourly,Castleton Commodities,,58548.148148148146
C.E. McMahon Professional Corporation,19/hr,19.0,CAD,hourly,C.E. McMahon Professional Corporation,,29274.074074074073
Cerebras Systems,38/hr,38.0,CAD,hourly,Cerebras Systems,,58548.148148148146
Certik,7000 USD/month remote (4th coop),29.548125000000002,USD,monthly,Certik,,45526.0
CGI,18/hr (3rd coop),10.5,CAD,hourly,CGI,,16177.777777777777
Chisel.ai,40/hr (5th coop),22.5,CAD,hourly,Chisel.ai,,34666.666666666664
Christie Digital Systems,"18/hr (1st coop), +2/hr every add. coop term",7.0,CAD,hourly,Christie Digital Systems,,10785.185185185184
Cisco (Ottawa Office),31-33/hr (1st coop),21.666666666666668,CAD,hourly,Cisco (Ottawa Office),,33382.71604938272
Cisco Meraki,(up to) 67/hr + 10k signing bonus,38.5,CAD,hourly,Cisco Meraki,,59318.51851851852
Citadel,3365 USD/week,113.56875000000001,USD,weekly,Citadel,,174980.0
Cockroach Labs,8000/month + 1.5k signing bonus,25.0046875,CAD,monthly,Cockroach Labs,,38525.74074074074
CodeWithChris,20/hr (1st coop),10.5,CAD,hourly,CodeWithChris,,16177.777777777777
Cohere,20-50/hr based on experience,35.0,CAD,hourly,Cohere,,53925.92592592592
Cohesity,49/hr,49.0,CAD,hourly,Cohesity,,75496.29629629629
Coinbase,50/hr,50.0,CAD,hourly,Coinbase,,77037.03703703704
Coinsquare,"28/hr (1st coop), 44/hr (5th coop, any dev role)",19.5,CAD,hourly,Coinsquare,,30044.44444444444
Compound,"$10,200/month",63.75,CAD,monthly,Compound,,98222.22222222222
Connected,37/hr (6th coop),21.5,CAD,hourly,Connected,,33125.92592592593
The Co-operators,~21/hr (1st coop),11.0,CAD,hourly,The Co-operators,,16948.148148148146
Core Avionics,"20/hr (1st coop), 30/hr",17.0,CAD,hourly,Core Avionics,,26192.59259259259
Coursera,7000/month,43.75,CAD,monthly,Coursera,,67407.4074074074
Cover Technologies Inc,30 USD/hr,40.5,USD,hourly,Cover Technologies Inc,,62399.99999999999
Creospark,18/hr,18.0,CAD,hourly,Creospark,,27733.333333333332
Curinos,34/hr (2b),18.0,CAD,hourly,Curinos,,27733.333333333332
D2L,28/hr,28.0,CAD,hourly,D2L,,43140.74074074074
Databrick,55 CAD/hr + 1.3k/mo housing,28.15,CAD,hourly,Databrick,,43371.85185185185
data.world,1400 USD/week + 100 USD remote stipend,25.3125,USD,weekly,data.world,,39000.0
Deloitte,25-28/hr,26.5,CAD,hourly,Deloitte,,40829.62962962963
Digital Extremes (Marketing),20/hr (2nd coop),11.0,CAD,hourly,Digital Extremes (Marketing),,16948.148148148146
DocuSign,52/hr ⁠,52.0,CAD,hourly,DocuSign,,80118.51851851851
Dreamschools,19-24/hr,21.5,CAD,hourly,Dreamschools,,33125.92592592593
Dropbase (Castodia),"(25-50/hr, +5 per work term), 29/hr for 3rd coop, 30-32/hr for 4/5th coop",20.333333333333332,CAD,hourly,Dropbase (Castodia),,31328.395061728388
DRW,35-37/hr,36.0,CAD,hourly,DRW,,55466.666666666664
Ecobee,up to 38/hr (no stipend),38.0,CAD,hourly,Ecobee,,58548.148148148146
Ecompliance,"26/hr (4th coop), couple dollars above coop average",15.0,CAD,hourly,Ecompliance,,23111.11111111111
Elekta,27/hr (2A),14.5,CAD,hourly,Elekta,,22340.74074074074
The Empire Life Insurance Company,22-28/hr based on work term,25.0,CAD,hourly,The Empire Life Insurance Company,,38518.51851851852
Enlighted Inc,36/hr (5th coop),20.5,CAD,hourly,Enlighted Inc,,31585.185185185182
Equifax D&A,22/hr (1st coop),11.5,CAD,hourly,Equifax D&A,,17718.51851851852
Equitable Life Insurance Company,"20/hr, 23/hr (2nd coop)",15.0,CAD,hourly,Equitable Life Insurance Company,,23111.11111111111
ESCRYPT,"26/hr (3rd coop), 30/hr (4th coop)",15.75,CAD,hourly,ESCRYPT,,24266.666666666664
eSentire,24.50/hr,24.5,CAD,hourly,eSentire,,37748.148148148146
EY,28/hr (3rd coop),15.5,CAD,hourly,EY,,23881.481481481478
Facebook,6200/month + 1200 WFH stipend,23.125,CAD,monthly,Facebook,,35629.62962962963
Faire (Developer role),32-50/hr + options (depending on experience),41.0,CAD,hourly,Faire (Developer role),,63170.370370370365
Fleet Complete,"26/hr (3rd coop), 32/hr (5th coop)",16.5,CAD,hourly,Fleet Complete,,25422.22222222222
Fleet Labs,25-27/hr,26.0,CAD,hourly,Fleet Labs,,40059.259259259255
The Flight Deck,23/hr,23.0,CAD,hourly,The Flight Deck,,35437.03703703704
Float,50/hr,50.0,CAD,hourly,Float,,77037.03703703704
Ford,"23.13-29.27/hr (+~4% every add. coop term) (25.77-3rd, 26.80-4th, 28-5th)",16.552222222222223,CAD,hourly,Ford,,25502.683127572018
Forethought AI,6000-8000/month,43.75,CAD,monthly,Forethought AI,,67407.4074074074
Freshbooks,"33/hr (5th coop), 70k/year",36.0,CAD,hourly,Freshbooks,,55466.666666666664
Geotab,30/hr (3rd coop),16.5,CAD,hourly,Geotab,,25422.22222222222
Get ResQ,36/hr (5th coop),20.5,CAD,hourly,Get ResQ,,31585.185185185182
Glu,"30/hr (4th coop), 25/hr (2nd coop)",15.25,CAD,hourly,Glu,,23496.296296296296
Google,"Canada: $1538/week, plus 4k housing stipend, US: $1700 - $2100 USD/week based on location, plus 6k USD housing stipend",36.099000000000004,USD,weekly,Google,,55619.2
groq (Groq Inc),"37/hr (1st coop), 35-42/hr - 42 is 6th coop",27.166666666666668,CAD,hourly,groq (Groq Inc),,41856.79012345679
Gsoft,40/hr (4th coop),22.0,CAD,hourly,Gsoft,,33896.29629629629
H2Analytics,23/hr,23.0,CAD,hourly,H2Analytics,,35437.03703703704
Halp,38/hr (3rd coop),20.5,CAD,hourly,Halp,,31585.185185185182
Hatch Credit,8000-9000 USD/month,71.71875,USD,monthly,Hatch Credit,,110500.0
HeadSpin,32/hr (3rd coop),17.5,CAD,hourly,HeadSpin,,26962.96296296296
High Q Technologies,25/hr (3rd coop),14.0,CAD,hourly,High Q Technologies,,21570.37037037037
Hockeystick,"around coop average, 21/hr (1st coop)",11.0,CAD,hourly,Hockeystick,,16948.148148148146
Home Depot (Dev),20/hr (2nd coop),11.0,CAD,hourly,Home Depot (Dev),,16948.148148148146
HomeX,"30/hr, 33/hr (3rd coop)",22.0,CAD,hourly,HomeX,,33896.29629629629
HOOPP (Health Care of Ontario Pension Plan),22.25/hr (2nd coop),12.125,CAD,hourly,HOOPP (Health Care of Ontario Pension Plan),,18681.48148148148
Huawei,"27-35/hr, 34/hr (4/5th coop), 42/hr (masters)",24.5,CAD,hourly,Huawei,,37748.148148148146
HubSpot,50-54/hr USD,70.2,USD,hourly,HubSpot,,108160.0
IBM,"26.50/hr (28-31/hr for 4th coop), 36/hr",25.1,CAD,hourly,IBM,,38672.59259259259
Index Exchange,30/hr or above,30.0,CAD,hourly,Index Exchange,,46222.22222222222
⁠Inflight,"25/hr, 26.5/hr (4th coop)",18.5,CAD,hourly,⁠Inflight,,28503.7037037037
⁠Information Builders,50/hr,50.0,CAD,hourly,⁠Information Builders,,77037.03703703704
Intact Labs,"30.5/hr (3rd coop), Data Science 32/hr (2nd coop), 39/hr (5/6th coop)",16.785714285714285,CAD,hourly,Intact Labs,,25862.433862433856
Intel,"33/hr, 35/hr (6th coop)",24.666666666666668,CAD,hourly,Intel,,38004.93827160494
⁠Insticator,20-25/hr,22.5,CAD,hourly,⁠Insticator,,34666.666666666664
Instinet Canada,"36/hr + 3k stipend (2nd coop, sre analyst)",13.666666666666666,CAD,hourly,Instinet Canada,,21056.790123456787
Integrate.ai,1550/week,38.75,CAD,weekly,Integrate.ai,,59703.7037037037
Intuit,"30-37/hr (update: +5k USD stipend), 47/hr (3rd coop)",32.94,USD,hourly,Intuit,,50751.99999999999
iS5 Communications,32/hr (6th coop),19.0,CAD,hourly,iS5 Communications,,29274.074074074073
ISARA,1228/week (3rd coop),15.3875,CAD,weekly,ISARA,,23708.148148148146
Jane Street,"16,667 USD/mo + 2.1k USD/mo housing stipend + 10k USD signing bonus",11.727492187500001,USD,stipend,Jane Street,,18069.025
Jays Care Foundation (TBJ),18/hr (1st coop),9.5,CAD,hourly,Jays Care Foundation (TBJ),,14637.037037037036
Kambeo,20-30/hr,25.0,CAD,hourly,Kambeo,,38518.51851851852
KeepTruckin,30/hr ⁠,30.0,CAD,hourly,KeepTruckin,,46222.22222222222
Kinaxis,"24/hr, 34/hr (1st+2nd coop), 28-30/hr (4th coop)",17.571428571428573,CAD,hourly,Kinaxis,,27073.01587301587
League,"33/hr (4th coop), 41/hr (6th coop)",21.0,CAD,hourly,League,,32355.555555555555
LifeWorks,22.5/hr,22.5,CAD,hourly,LifeWorks,,34666.666666666664
Lifion by Adp,40-44/hr,42.0,CAD,hourly,Lifion by Adp,,64711.11111111111
⁠Linkedin,55 USD/hr + Corporate housing(/ 7K stipend),41.85,USD,hourly,⁠Linkedin,,64479.99999999999
Loblaw (Data Science),31/hr (2nd coop),16.5,CAD,hourly,Loblaw (Data Science),,25422.22222222222
Mastercard Foundation,19.5/hr (1st coop),10.25,CAD,hourly,Mastercard Foundation,,15792.592592592591
⁠Mattermost,"29/hr, 35/hr (5th coop PM), 45/hr (6th coop PM)",24.0,CAD,hourly,⁠Mattermost,,36977.777777777774
Manulife,"25/hr, 26/hr (3rd year)",18.0,CAD,hourly,Manulife,,27733.333333333332
McAfee,25/hr (2nd? coop),13.5,CAD,hourly,McAfee,,20800.0
Metrist,70k/yr ~= 33.65/hr,51.825,CAD,hourly,Metrist,,79848.88888888889
Microart Services,26/hr (1st coop),13.5,CAD,hourly,Microart Services,,20800.0
Molex,"23/hr (2nd coop), 25/hr (4th coop)",13.5,CAD,hourly,Molex,,20800.0
NASDAQ,28/hr,28.0,CAD,hourly,NASDAQ,,43140.74074074074
Newfront Insurance,90/hr (6th coop),48.0,CAD,hourly,Newfront Insurance,,73955.55555555555
Nextroll,57/hr + 60/month WFH allowance,58.5,CAD,hourly,Nextroll,,90133.33333333333
Nissan,19-23/hr depending on term,21.0,CAD,hourly,Nissan,,32355.555555555555
Nokia,"25/hr (4th coop), 33/hr (3rd and 4th years)",13.8,CAD,hourly,Nokia,,21262.222222222223
Norm Li,20-30/hr,25.0,CAD,hourly,Norm Li,,38518.51851851852
Nvidia,"36/hr + 500/wk housing, (2b: 30.5/hr, 3a: 33/hr, 3b: 34.5/hr, 4a: 36/hr) + 500/wk housing",107.45454545454545,CAD,hourly,Nvidia,,165559.59595959593
NuraLogix,28/hr (3rd coop),15.5,CAD,hourly,NuraLogix,,23881.481481481478
Nuvalence,"55/hr (5th coop), up to 60/hr remote",40.0,CAD,hourly,Nuvalence,,61629.62962962963
Okta,40-45/hr,42.5,CAD,hourly,Okta,,65481.481481481474
OMERS,"24/hr, (28/hr for 4th coop)",18.666666666666668,CAD,hourly,OMERS,,28760.493827160495
Onsemi,30.29/hr?,30.29,CAD,hourly,Onsemi,,46669.03703703703
Ontario Institute for Cancer Research,"18.6/hr (1st coop), 21/hr (2nd coop)",10.65,CAD,hourly,Ontario Institute for Cancer Research,,16408.888888888887
Ontario Ministry of Health,"17.27/hr (1st coop), 18.42/hr (2nd coop)",9.6725,CAD,hourly,Ontario Ministry of Health,,14902.814814814814
OpenText,"21/hr (2nd coop) [pays similar to coop averages], ~30.25/hr (3rd coop)",14.0625,CAD,hourly,OpenText,,21666.666666666664
Oracle,"35/hr (3rd coop), 37/hr (4th coop)",19.75,CAD,hourly,Oracle,,30429.629629629628
⁠Pepsico,22/hr,22.0,CAD,hourly,⁠Pepsico,,33896.29629629629
PlayStation,"25.3/hr (2nd coop), 30/hr (3rd coop)",15.075,CAD,hourly,PlayStation,,23226.666666666664
PointClickCare,"coop average, 25-32/hr (2nd coop)",19.666666666666668,CAD,hourly,PointClickCare,,30301.234567901236
primer.ai,50/hr (4th coop),27.0,CAD,hourly,primer.ai,,41600.0
Prodigy Education,33/hr (5th coop),19.0,CAD,hourly,Prodigy Education,,29274.074074074073
Radix Labs,25/hr USD,33.75,USD,hourly,Radix Labs,,52000.0
Raposa Research,100?/hr USD,135.0,USD,hourly,Raposa Research,,208000.0
RBC (Business Analyst),22/hr (2nd coop),12.0,CAD,hourly,RBC (Business Analyst),,18488.888888888887
RBC (Data Analyst),28/hr,28.0,CAD,hourly,RBC (Data Analyst),,43140.74074074074
RBC (Risk Management),30/hr (1st coop),15.5,CAD,hourly,RBC (Risk Management),,23881.481481481478
RBC (Soft Dev),"21.50 - 23.50/hr (1st coop), 27.75/hr (5th coop)",15.75,CAD,hourly,RBC (Soft Dev),,24266.666666666664
Reebee,"$1 above coop average, 1096/week",13.7125,CAD,weekly,Reebee,,21127.407407407405
Relay Financial,44/hr (3rd coop),23.5,CAD,hourly,Relay Financial,,36207.4074074074
Relic Entertainment,25/hr (2nd coop),13.5,CAD,hourly,Relic Entertainment,,20800.0
Remitbee (See Blacklist),20/hr (3rd coop),11.5,CAD,hourly,Remitbee (See Blacklist),,17718.51851851852
Replicant Inc,35-37/hr (4th coop),25.333333333333332,CAD,hourly,Replicant Inc,,39032.09876543209
ResQ,36/hr (5th coop),20.5,CAD,hourly,ResQ,,31585.185185185182
Ritual,46/hr (6th coop),26.0,CAD,hourly,Ritual,,40059.259259259255
Roblox,"56 USD/hr + 1k WFH stipend, 62/hr (DS), 60/hr + 7K housing stipend",50.220000000000006,USD,hourly,Roblox,,77376.0
Rocscience,coop average or $1 above (20-28/hr),16.333333333333332,CAD,hourly,Rocscience,,25165.43209876543
⁠Rogers,"21.25-23.75/hr, 25.75/hr (2nd coop)",18.1875,CAD,hourly,⁠Rogers,,28022.22222222222
Samsung Research America,39 USD/hr + 9k USD stipend,32.400000000000006,USD,hourly,Samsung Research America,,49920.00000000001
SAP,"$1 above the coop average, 24/hr (2nd coop)",9.0,CAD,hourly,SAP,,13866.666666666666
SAP ML,40/hr (1st coop),20.5,CAD,hourly,SAP ML,,31585.185185185182
Scotiabank (Data Science/Soft Dev),~31/hr (3rd year),17.0,CAD,hourly,Scotiabank (Data Science/Soft Dev),,26192.59259259259
⁠Shopify,40/hr (77k annual base + stipends),58.5,CAD,hourly,⁠Shopify,,90133.33333333333
Shoplogic,27/hr,27.0,CAD,hourly,Shoplogic,,41600.0
SideFX,"35/hr, 45-47/hr (6th coop)",33.25,CAD,hourly,SideFX,,51229.62962962963
Simplii Financial (CIBC) (Product Analyst),26/hr,26.0,CAD,hourly,Simplii Financial (CIBC) (Product Analyst),,40059.259259259255
Skydio,52/hr (3rd coop),27.5,CAD,hourly,Skydio,,42370.370370370365
Skydio (Hardware),~41/hr + 5k signing (2a),16.0,CAD,hourly,Skydio (Hardware),,24651.85185185185
Smile CDR,36/hr (3rd coop),19.5,CAD,hourly,Smile CDR,,30044.44444444444
Snap Inc,$9000 USD/mo + $2500 USD/mo housing stipend + $500 USD/mo misc,8.4375,USD,stipend,Snap Inc,,13000.0
Snowflake computing,43-55/hr + stipends,49.0,CAD,hourly,Snowflake computing,,75496.29629629629
Solana Labs,60/hr USD + 3k/mo USD housing,42.525000000000006,USD,hourly,Solana Labs,,65520.00000000001
SoundHound,6300/month,39.375,CAD,monthly,SoundHound,,60666.666666666664
SPC Commerce,27/hr,27.0,CAD,hourly,SPC Commerce,,41600.0
⁠Splunk,"22-44/hr depending on experience, 60/hr USD",56.7,USD,hourly,⁠Splunk,,87360.0
Square,38/hr + 1k/mo housing,19.5,CAD,hourly,Square,,30044.44444444444
Squaredance,35/hr (2nd coop),18.5,CAD,hourly,Squaredance,,28503.7037037037
SS&C Technologies,"26/hr (2nd coop), 27-35/hr (3rd coop), 32/hr (3rd coop), 38/hr (4th coop)",18.88888888888889,CAD,hourly,SS&C Technologies,,29102.880658436214
Stablecorp,22.5/hr (2nd coop),12.25,CAD,hourly,Stablecorp,,18874.074074074073
Stackadapt,50/hr (5th coop),27.5,CAD,hourly,Stackadapt,,42370.370370370365
Stealth Startup,64/hr,64.0,CAD,hourly,Stealth Startup,,98607.4074074074
Stratum ai,30-35/hr,32.5,CAD,hourly,Stratum ai,,50074.07407407407
Super (Snapcommerce),"33/hr (1st year), 24/hr (1st coop, supply intern), 38/hr (2nd coop)",16.5,CAD,hourly,Super (Snapcommerce),,25422.22222222222
Sync.com,15-25/hr depending on experience,20.0,CAD,hourly,Sync.com,,30814.814814814814
System 1,28/hr (2nd coop),15.0,CAD,hourly,System 1,,23111.11111111111
⁠Tailscale,~35/hr ⁠,35.0,CAD,hourly,⁠Tailscale,,53925.92592592592
Tealbook,35/hr,35.0,CAD,hourly,Tealbook,,53925.92592592592
TD,"25/hr (1st coop), 29.66/hr (2nd coop), 30/hr (4th coop)",15.276666666666666,CAD,hourly,TD,,23537.38271604938
TD (non-SWE),27.5/hr (2nd coop),14.75,CAD,hourly,TD (non-SWE),,22725.925925925923
Teledyne Dalsa,22.5/hr (1B coop),11.75,CAD,hourly,Teledyne Dalsa,,18103.7037037037
Tesla (Unspecified Roles),"32/hr (remote), 28-32 USD/hr + ~4k relocation (onsite, Fremont/Palo Alto)",32.400000000000006,USD,hourly,Tesla (Unspecified Roles),,49920.00000000001
Tesla (Hardware),46.88/hr + 2.8k relocation (2a),17.226666666666667,CAD,hourly,Tesla (Hardware),,26541.82716049382
theScore,"24/hr (1st coop), 33/hr (2nd coop)",15.0,CAD,hourly,theScore,,23111.11111111111
Thumbtack,"(35/hr + signing bonus + 500 remote stipend) (42/hr + 1k sign bonus + 1.5k WFH/other benefits, 6th coop)",97.58333333333333,CAD,hourly,Thumbtack,,150350.6172839506
Titanium Agency,"25/hr (1st coop), 27/hr (2nd coop), up to 35/hr for upper years",18.0,CAD,hourly,Titanium Agency,,27733.333333333332
TOOLBX,"25/hr, 30/hr (3rd year), 45/hr (6th coop)",21.8,CAD,hourly,TOOLBX,,33588.148148148146
TTC (Toronto Transit Commission),27.65/hr (6th coop),16.825,CAD,hourly,TTC (Toronto Transit Commission),,25922.96296296296
⁠Tribalscale,25/hr,25.0,CAD,hourly,⁠Tribalscale,,38518.51851851852
Trustwave Holdings,25/hr (3rd coop),14.0,CAD,hourly,Trustwave Holdings,,21570.37037037037
TutorOcean,20/hr,20.0,CAD,hourly,TutorOcean,,30814.814814814814
⁠Ubisoft,29.33/hr (for 2B),15.665,CAD,hourly,⁠Ubisoft,,24135.7037037037
Ultimate Software,"30-32/hr, 33/hr (3rd coop)",24.5,CAD,hourly,Ultimate Software,,37748.148148148146
Union Bank of Switzerland (UBS Group AG),24/hr (2nd coop),13.0,CAD,hourly,Union Bank of Switzerland (UBS Group AG),,20029.629629629628
Untether AI,21-24/hr ⁠(coop average),22.5,CAD,hourly,Untether AI,,34666.666666666664
Uplift,38/hr,38.0,CAD,hourly,Uplift,,58548.148148148146
Uptake Canada,"Coop average, 20/hr (1st coop), 24/hr (3rd coop)",12.0,CAD,hourly,Uptake Canada,,18488.888888888887
Veeva Systems,35/hr,35.0,CAD,hourly,Veeva Systems,,53925.92592592592
Vendia,55/hr USD,74.25,USD,hourly,Vendia,,114399.99999999999
Veriday,20/hr (1st coop),10.5,CAD,hourly,Veriday,,16177.777777777777
Versett,32-25/hr (2nd coop),19.666666666666668,CAD,hourly,Versett,,30301.234567901236
VerticalScope,30/hr (4th coop),17.0,CAD,hourly,VerticalScope,,26192.59259259259
⁠Vidyard,"~750-1200/week (a bit above coop average, depending on coop term)",24.375,CAD,weekly,⁠Vidyard,,37555.555555555555
Voiceflow,40-55/hr based on term/team,47.5,CAD,hourly,Voiceflow,,73185.18518518518
Voiceform,"20-50/hr depending on experience, 30/hr (3rd coop)",25.75,CAD,hourly,Voiceform,,39674.07407407407
Waabi Innovation,52/hr + 500/wk stipend (3rd year),185.0,CAD,hourly,Waabi Innovation,,285037.037037037
Wind River,"24-29/hr (24/hr 2nd coop), 28/hr",21.4,CAD,hourly,Wind River,,32971.85185185185
WSIB Innovation Lab,"29.5/hr (1st coop), 30.25 (2nd coop)",15.6875,CAD,hourly,WSIB Innovation Lab,,24170.37037037037
Xanadu,30/hr (1st coop),15.5,CAD,hourly,Xanadu,,23881.481481481478
Yext,50 USD/hr + 5k USD stipend,37.125,USD,hourly,Yext,,57199.99999999999
Zenreach/Greenfield,29/hr (3rd coop),16.0,CAD,hourly,Zenreach/Greenfield,,24651.85185185185
Zighra,40+/hr,40.0,CAD,hourly,Zighra,,61629.62962962963
⁠Zynga,high 20s to mid 30s/hr,25.0,CAD,hourly,⁠Zynga,,38518.51851851852
